studyid,methodtype,reason for exclusion,search,initialid,Author,Title,Year,Journal,Volume,Number,Month,Pages,Identifier,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
NA,,"previous search (2014); Review, should follow up on citations",search1,80,"Donnelly, Alison; Caffarra, Amelia & O'Neill, Bridget F.",A review of climate-driven mismatches between interdependent phenophases in terrestrial and aquatic ecosystems,{2011},{INTERNATIONAL JOURNAL OF BIOMETEOROLOGY},{55},{6},{NOV},{805-817},ISI:000298398700007,"{International Conference on Phenology - Climate Change Impacts and Adaptation, Trinity Coll, Dublin, IRELAND, JUN, 2010}",,,,,,,,,,,,,,,,,,
NA,,no fitness data BUT would be good for original study of synchrony,search1,81,"Donnelly, Alison; Yu, Rong & Liu, Lingling",Trophic level responses differ as climate warms in Ireland,{2015},{INTERNATIONAL JOURNAL OF BIOMETEOROLOGY},{59},{8},{AUG},{1007-1017},ISI:000359535300007,,,,,,,,,,,,,,,,,,,
NA,,model,search1,82,"Donohue, John G. & Piiroinen, Petri T.",Mathematical modelling of seasonal migration with applications to climate change,{2015},{ECOLOGICAL MODELLING},{299},,{MAR 10},{79-94},ISI:000349882300007,,,,,,,,,,,,,,,,,,,
NA,,modelled mismatch,search1,83,"Dunn, Peter O. & Moller, Anders P.",Changes in breeding phenology and population size of birds,{2014},{JOURNAL OF ANIMAL ECOLOGY},{83},{3},{MAY},{729-739},ISI:000334289500021,,,,,,,,,,,,,,,,,,,
NA,,"No seasonal information, just interannual",search1,84,"Durant, J. M.; Anker-Nilssen, T. & Stenseth, N. C.",Trophic interactions under climate fluctuations: the Atlantic puffin as an example,{2003},{PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES},{270},{1523},{JUL 22},{1461-1466},ISI:000184272500005,,,,,,,,,,,,,,,,,,,
NA,,"previous search (2014); contacted Stenseth, 3 interactions; 1 used NDVI data,1 had no phenology data for cod; 1 predicted phenology using temp",search1,85,"Durant, J. M.; Hjermann, D. O.; Anker-Nilssen, T.; Beaugrand, G.; Mysterud, A.; Pettorelli, N. & Stenseth, N. C.",Timing and abundance as key mechanisms affecting trophic interactions in variable environments,{2005},{ECOLOGY LETTERS},{8},{9},{SEP},{952-958},ISI:000231224600006,,,,,,,,,,,,,,,,,,,
NA,,no raw data; derived and from other studies,search1,86,"Durant, Joel M.; Hjermann, Dag O.; Falkenhaug, Tone; Gifford, Dian J.; Naustvoll, Lars-Johan; Sullivan, Barbara K.; Beaugrand, Gregory & Stenseth, Nils Chr.",Extension of the match-mismatch hypothesis to predator-controlled systems,{2013},{MARINE ECOLOGY PROGRESS SERIES},{474},,,{43-52},ISI:000314368600004,,,,,,,,,,,,,,,,,,,
NA,,"Review, should follow up on citations",search1,87,"Durant, Joel M.; Hjermann, Dag O.; Ottersen, Geir & Stenseth, Nils Chr.",Climate and the match or mismatch between predator requirements and resource availability,{2007},{CLIMATE RESEARCH},{33},{3},{APR 20},{271-283},ISI:000246434600006,,,,,,,,,,,,,,,,,,,
NA,,intra-specific,search1,88,"Edwards, Christine E.; Ewers, Brent E.; Williams, David G.; Xie, Qiguang; Lou, Ping; Xu, Xiaodong; McClung, C. Robertson & Weinig, Cynthia",The Genetic Architecture of Ecophysiological and Circadian Traits in Brassica rapa,{2011},{GENETICS},{189},{1},{SEP},{375-U1107},ISI:000294721600028,,,,,,,,,,,,,,,,,,,
NA,,previous search (2014); HK: only data for trophic groups and non-interacting species; Johan: Phenological data for species only in graphs and difficult to extract info from graphs. No estimates of fitness effects ***CAN EXTRACT!!,search1,89,"Edwards, M. & Richardson, A. J.",Impact of climate change on marine pelagic phenology and trophic mismatch,{2004},{NATURE},{430},{7002},{AUG 19},{881-884},ISI:000223369800039,,,,,,,,,,,,,,,,,,,
NA,,review,search1,90,"Eggli, Urs & Giorgetta, Mario",FLOWERING PHENOLOGY AND OBSERVATIONS ON THE POLLINATION BIOLOGY OF SOUTH AMERICAN CACTI. 1. DENMOZA RHODACANTHA,{2015},{HASELTONIA},,{20},{FEB},{3-12},ISI:000351746000002,,,,,,,,,,,,,,,,,,,
NA,,interactions not considered,search1,91,"Ellwood, Elizabeth R.; Diez, Jeffrey M.; Ibanez, Ines; Primack, Richard B.; Kobori, Hiromi; Higuchi, Hiroyoshi & Silander, John A.",Disentangling the paradox of insect phenology: are temporal trends reflecting the response to warming?,{2012},{OECOLOGIA},{168},{4},{APR},{1161-1171},ISI:000301604200025,,,,,,,,,,,,,,,,,,,
NA,,no fitness data BUT would be good for original study of synchrony,search1,92,"Ellwood, Elizabeth R.; Playfair, Susan R.; Polgar, Caroline A. & Primack, Richard B.",Cranberry flowering times and climate change in southern Massachusetts,{2014},{INTERNATIONAL JOURNAL OF BIOMETEOROLOGY},{58},{7},{SEP},{1693-1697},ISI:000340868200029,,,,,,,,,,,,,,,,,,,
NA,,interactions not considered,search1,93,"Ellwood, Elizabeth R.; Primack, Richard B. & Talmadge, Michele L.",EFFECTS OF CLIMATE CHANGE ON SPRING ARRIVAL TIMES OF BIRDS IN THOREAU'S CONCORD FROM 1851 TO 2007,{2010},{CONDOR},{112},{4},{NOV},{754-762},ISI:000285727700014,,,,,,,,,,,,,,,,,,,
NA,,interactions not considered,search1,94,"Ellwood, Elizabeth R.; Temple, Stanley A.; Primack, Richard B.; Bradley, Nina L. & Davis, Charles C.",Record-Breaking Early Flowering in the Eastern United States,{2013},{PLOS ONE},{8},{1},{JAN 16},,ISI:000313682700045,,,,,,,,,,,,,,,,,,,
NA,,interactions not considered,search1,95,"Elmore, Andrew J.; Stylinski, Cathlyn D. & Pradhan, Kavya",Synergistic Use of Citizen Science and Remote Sensing for Continental-Scale Measurements of Forest Tree Phenology,{2016},{REMOTE SENSING},{8},{6},{JUN},,ISI:000379985300061,,,,,,,,,,,,,,,,,,,
NA,,only two years of data,search1,96,"English, P. A.; Nocera, J. J. & Green, D. J.",Of moths and moon: complicated phenological mismatch in a nocturnal aerial insectivore,{2017},{INTEGRATIVE AND COMPARATIVE BIOLOGY},{57},{1},{MAR},{E254},ISI:000398668701267,"{Annual Meeting of the Society-for-Integrative-and-Comparative-Biology (SICB), New Orleans, LA, JAN 04-08, 2017}",,,,,,,,,,,,,,,,,,
NA,,review,search1,97,"Enquist, Carolyn A. F.; Kellermann, Jherime L.; Gerst, Katharine L. & Miller-Rushing, Abraham J.",Phenology research for natural resource management in the United States,{2014},{INTERNATIONAL JOURNAL OF BIOMETEOROLOGY},{58},{4},{MAY},{579-589},ISI:000336329300015,,,,,,,,,,,,,,,,,,,
NA,,review,search1,98,"Ensminger, Ingo; Chang, Christine Yao-Yun & Brautigam, Katharina",Tree Responses to Environmental Cues,{2015},,{74},,,{229-263},ISI:000385021100008,,,{LAND PLANTS - TREES},,,{Advances in Botanical Research},"Plomion, C & AdamBlondon, AF",,,,,,,,,,,,
NA,,no fitness,search1,99,"Evans, E. W.; Carlile, N. R.; Innes, M. B. & Pitigala, N.",Warm springs reduce parasitism of the cereal leaf beetle through phenological mismatch,{2013},{JOURNAL OF APPLIED ENTOMOLOGY},{137},{5},{JUN},{383-391},ISI:000318695600008,,,,,,,,,,,,,,,,,,,
NA,,abiotic mismatch,search1,100,"Evans, Luke M.; Kaluthota, Sobadini; Pearce, David W.; Allan, Gerard J.; Floate, Kevin; Rood, Stewart B. & Whitham, Thomas G.",Bud phenology and growth are subject to divergent selection across a latitudinal gradient in Populus angustifolia and impact adaptation across the distributional range and associated arthropods,{2016},{ECOLOGY AND EVOLUTION},{6},{13},{JUL},{4565-4581},ISI:000379344400027,,,,,,,,,,,,,,,,,,,
NA,,model,search1,101,"Fabina, Nicholas S.; Abbott, Karen C. & Gilman, R. Tucker",Sensitivity of plant-pollinator-herbivore communities to changes in phenology,{2010},{ECOLOGICAL MODELLING},{221},{3},{FEB 10},{453-458},ISI:000273866700010,,,,,,,,,,,,,,,,,,,
NA,,model,search1,102,"Fagan, William F.; Bewick, Sharon; Cantrell, Steve; Cosner, Chris; Varassin, Isabela Galarda & Inouye, David W.",Phenologically explicit models for studying plant-pollinator interactions under climate change,{2014},{THEORETICAL ECOLOGY},{7},{3},{AUG},{289-297},ISI:000339820000006,,,,,,,,,,,,,,,,,,,
NA,,no phenology data,search1,103,"Fahrner, Samuel J.; Lelito, Jonathan P. & Aukema, Brian H.","The influence of temperature on the flight capacity of emerald ash borer Agrilus planipennis and its parasitoid, Tetrastichus planipennisi: implications to biological control",{2015},{BIOCONTROL},{60},{4},{AUG},{437-449},ISI:000357478300001,,,,,,,,,,,,,,,,,,,
NA,,interactions not considered,search1,104,"Filgueira, Ramon; Brown, Michael S.; Comeau, Luc A. & Grant, Jon",Predicting the timing of the pediveliger stage of Mytilus edulis based on ocean temperature,{2015},{JOURNAL OF MOLLUSCAN STUDIES},{81},{2},{MAY},{269-273},ISI:000355318000010,,,,,,,,,,,,,,,,,,,
NA,,abiotic mismatch,search1,105,"Finch, Tom; Pearce-Higgins, James W.; Leech, D. I. & Evans, Karl L.",Carry-over effects from passage regions are more important than breeding climate in determining the breeding phenology and performance of three avian migrants of conservation concern,{2014},{BIODIVERSITY AND CONSERVATION},{23},{10},{SEP},{2427-2444},ISI:000339937300003,,,,,,,,,,,,,,,,,,,
NA,,no phenology data for second spp,search1,106,"Fisogni, A.; Rossi, M.; Sgolastra, F.; Bortolotti, L.; Bogo, G.; de Manincor, N.; Quaranta, M. & Galloni, M.",Seasonal and annual variations in the pollination efficiency of a pollinator community of Dictamnus albus L.,{2016},{PLANT BIOLOGY},{18},{3},{MAY},{445-454},ISI:000374349000012,,,,,,,,,,,,,,,,,,,
NA,,no phenology data,search1,107,"Flory, S. Luke & Mattingly, W. Brett",Response of host plants to periodical cicada oviposition damage,{2008},{OECOLOGIA},{156},{3},{JUN},{649-656},ISI:000255680000016,,,,,,,,,,,,,,,,,,,
NA,,review,search1,108,"Forrest, Jessica R. K.",Plant-pollinator interactions and phenological change: what can we learn about climate impacts from experiments and observations?,{2015},{OIKOS},{124},{1},{JAN},{4-13},ISI:000347052300002,,,,,,,,,,,,,,,,,,,
NA,,spatial variation in phenology (doy and temp not year),search1,109,"Forrest, Jessica R. K. & Thomson, James D.",An examination of synchrony between insect emergence and flowering in Rocky Mountain meadows,{2011},{ECOLOGICAL MONOGRAPHS},{81},{3},{AUG},{469-491},ISI:000293457300005,,,,,,,,,,,,,,,,,,,
NA,,previous search (2014); derived from model: MODIS for leafout and BioSIm for insect,search1,110,"Foster, Jane R.; Townsend, Philip A. & Mladenoff, David J.",Mapping asynchrony between gypsy moth egg-hatch and forest leaf-out: Putting the phenological window hypothesis in a spatial context,{2013},{FOREST ECOLOGY AND MANAGEMENT},{287},,{JAN 1},{67-76},ISI:000312352900007,,,,,,,,,,,,,,,,,,,
NA,,abiotic mismatch,search1,111,"Fox, Anthony David; Weegman, Mitch D.; Bearhop, Stuart; Hilton, Geoff M.; Griffin, Larry; Stroud, David A. & Walsh, Alyn",Climate change and contrasting plasticity in timing of a two-step migration episode of an Arctic-nesting avian herbivore,{2014},{CURRENT ZOOLOGY},{60},{2},,{233-242},ISI:000335811900008,,,,,,,,,,,,,,,,,,,
NA,,intra-specific,search1,112,"Fraser, Dylan J.; Minto, Coilin; Calvert, Anna M.; Eddington, James D. & Hutchings, Jeffrey A.",Potential for domesticated-wild interbreeding to induce maladaptive phenology across multiple populations of wild Atlantic salmon (Salmo salar),{2010},{CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES},{67},{11},{NOV},{1768-1775},ISI:000283921200005,,,,,,,,,,,,,,,,,,,
NA,,abiotic mismatch,search1,113,"Fraser, Kevin C.; Silverio, Cassandra; Kramer, Patrick; Mickle, Nanette; Aeppli, Robert & Stutchbury, Bridget J. M.",A Trans-Hemispheric Migratory Songbird Does Not Advance Spring Schedules or Increase Migration Rate in Response to Record-Setting Temperatures at Breeding Sites,{2013},{PLOS ONE},{8},{5},{MAY 31},,ISI:000319799900058,,,,,,,,,,,,,,,,,,,
NA,,spatial only,search1,114,"Frenzel, M.; Eber, S.; Klotz, S. & Brandl, R.",Ecological comparisons across geographical distributions: The thistle gall fly Urophora cardui (Diptera : Tephritidae) on two different Cirsium hosts,{2000},{EUROPEAN JOURNAL OF ENTOMOLOGY},{97},{2},,{183-189},ISI:000088426100008,,,,,,,,,,,,,,,,,,,
NA,,spatial only,search1,115,"Friedland, Kevin D.; Leaf, Robert T.; Kane, Joe; Tommasi, Desiree; Asch, Rebecca G.; Rebuck, Nathan; Ji, Rubao; Large, Scott I.; Stock, Charles & Saba, Vincent S.",Spring bloom dynamics and zooplankton biomass response on the US Northeast Continental Shelf,{2015},{CONTINENTAL SHELF RESEARCH},{102},,{JUL 1},{47-61},ISI:000355362700005,,,,,,,,,,,,,,,,,,,
NA,,book,search1,116,"Friedland, Kevin D.; Manning, James P. & Link, Jason S.",Thermal Phenological Factors Affecting the Survival of Atlantic Salmon in the Gulf of Maine,{2012},,{79},,,{393+},ISI:000344125500027,"{Gulf of Maine Symposium: Advancing Ecosystem Research for the Future of the Gulf, St Andrews, CANADA, OCT 04-09, 2009}",,{ADVANCING AN ECOSYSTEM APPROACH IN THE GULF OF MARINE},,,{American Fisheries Society Symposium},"Stephenson, RL; Annala, JH; Runge, JA & HallArber, M",,,,,,,,,,,,
NA,,no phenology data for second spp; good study for monarch-milkweed project,search1,117,"Gao, Xu; Jin, Changnan; Llusia, Diego & Li, Yiming",Temperature-induced shifts in hibernation behavior in experimental amphibian populations,{2015},{SCIENTIFIC REPORTS},{5},,{JUN 23},,ISI:000356665300002,,,,,,,,,,,,,,,,,,,
NA,,only three years,search1,118,"Garcia-Gonzalez, Ricardo; Aldezabal, Arantza; Amaia Laskurain, Nere; Margalida, Antoni & Novoa, Claude",Influence of Snowmelt Timing on the Diet Quality of Pyrenean Rock Ptarmigan (Lagopus muta pyrenaica): Implications for Reproductive Success,{2016},{PLOS ONE},{11},{2},{FEB 5},,ISI:000369554000141,,,,,,,,,,,,,,,,,,,
NA,,only two years of data,search1,119,"Garcia-Navas, Vicente & Jose Sanz, Juan",The importance of a main dish: nestling diet and foraging behaviour in Mediterranean blue tits in relation to prey phenology,{2011},{OECOLOGIA},{165},{3},{MAR},{639-649},ISI:000287361500010,,,,,,,,,,,,,,,,,,,
NA,,previous search (2014); no phenological data for second species,search1,120,"Gaston, Anthony T.; Gilchrist, H. Grant; Mallory, Mark L. & Smith, Paul A.","CHANGES IN SEASONAL EVENTS, PEAK FOOD AVAILABILITY, AND CONSEQUENT BREEDING ADJUSTMENT IN A MARINE BIRD: A CASE OF PROGRESSIVE MISMATCHING",{2009},{CONDOR},{111},{1},{FEB},{111-119},ISI:000264253100010,,,,,,,,,,,,,,,,,,,
HMK010,,previous search (2014)- no species or genus level data for second species (for graminoids)- peak nitrogen used for plants; NO- NDVI used to predict date of peak productivity,search1,121,"Gauthier, Gilles; Bety, Joel; Cadieux, Marie-Christine; Legagneux, Pierre; Doiron, Madeleine; Chevallier, Clement; Lai, Sandra; Tarroux, Arnaud & Berteaux, Dominique",Long-term monitoring at multiple trophic levels suggests heterogeneity in responses to climate change in the Canadian Arctic tundra,{2013},{PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES},{368},{1624},{AUG 19},,ISI:000321565600005,,,,,,,,,,,,,,,,,,,
NA,,spatial only,search1,122,"Geiger, C. A. & Gutierrez, A. R.","Ecology of Heteropsylla cubana (Homoptera : Psyllidae): Psyllid damage, tree phenology, thermal relations, and parasitism in the field",{2000},{ENVIRONMENTAL ENTOMOLOGY},{29},{1},{FEB},{76-86},ISI:000089623000012,,,,,,,,,,,,,,,,,,,
NA,,no interactions,search1,123,"Genner, Martin J.; Halliday, Nicholas C.; Simpson, Stephen D.; Southward, Alan J.; Hawkins, Stephen J. & Sims, David W.",Temperature-driven phenological changes within a marine larval fish assemblage,{2010},{JOURNAL OF PLANKTON RESEARCH},{32},{5},{MAY},{699-708},ISI:000276746200010,,,,,,,,,,,,,,,,,,,
NA,,predicted phenology based on GDD,search1,124,"Gethings, Owen J.; Rose, Hannah; Mitchell, Sian; Van Dijk, Jan & Morgan, Eric R.",Asynchrony in host and parasite phenology may decrease disease risk in livestock under climate warming: Nematodirus battus in lambs as a case study,{2015},{PARASITOLOGY},{142},{10},{SEP},{1306-1317},ISI:000358524000007,,,,,,,,,,,,,,,,,,,
NA,,phenology of second spp not measured,search1,125,"Gezon, Zachariah J.; Inouye, David W. & Irwin, Rebecca E.",Phenological change in a spring ephemeral: implications for pollination and plant reproduction,{2016},{GLOBAL CHANGE BIOLOGY},{22},{5},{MAY},{1779-1793},ISI:000373130700009,,,,,,,,,,,,,,,,,,,
NA,,previous search (2014); no phenological data for second species,search1,126,"Gienapp, Phillip & Bregnballe, Thomas",Fitness Consequences of Timing of Migration and Breeding in Cormorants,{2012},{PLOS ONE},{7},{9},{SEP 25},,ISI:000309556100145,,,,,,,,,,,,,,,,,,,
HMK044,experiment,,search1,127,"Gienapp, P. & Visser, M. E.",Possible fitness consequences of experimentally advanced laying dates in Great Tits: differences between populations in different habitats,{2006},{FUNCTIONAL ECOLOGY},{20},{1},{FEB},{180-185},ISI:000236175600022,,,,,,,,,,,,,,,,,,,
NA,,review,search1,128,"Gilg, Olivier; Kovacs, Kit M.; Aars, Jon; Fort, Jerome; Gauthier, Gilles; Gremillet, David; Ims, Rolf A.; Meltofte, Hans; Moreau, Jerome; Post, Eric; Schmidt, Niels Martin; Yannic, Glenn & Bollache, Loic",Climate change and the ecology and evolution of Arctic vertebrates,{2012},,{1249},,,{166-190},ISI:000305677800012,,,{YEAR IN ECOLOGY AND CONSERVATION BIOLOGY},,,{Annals of the New York Academy of Sciences},"Ostfeld, RS & Schlesinger, WH",,,,,,,,,,,,
HMK017*,,*previous search (2014); may not have fitness data,search1,129,"Gillespie, Mark A. K.; Jonsdottir, Ingibjoerg S.; Hodkinson, Ian D. & Cooper, Elisabeth J.",Aphid-willow interactions in a high Arctic ecosystem: responses to raised temperature and goose disturbance,{2013},{GLOBAL CHANGE BIOLOGY},{19},{12},{DEC},{3698-3708},ISI:000326836000013,,,,,,,,,,,,,,,,,,,
NA,,model,search1,130,"Gimenez, Luis",Exploring mechanisms linking temperature increase and larval phenology: The importance of variance effects,{227-235},{JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY},{400},{1-2, SI},{APR 30},ISI:000291143900021,,,,,,,,,,,,,,,,,,,
NA,,no phenology data for second spp,search1,131,"Giroux, Jean-Francois; Patenaude-Monette, Martin; Lagarde, Florent; Mousseau, Pierre & Racine, Francois",Changes in spring arrival date and timing of breeding of Ring-billed Gulls in southern Quebec over four decades,{2016},{AVIAN CONSERVATION AND ECOLOGY},{11},{1},{JUN},,ISI:000379869400001,,,,,,,,,,,,,,,,,,,
NA,,no phenology data,search1,132,"Goberville, Eric; Hautekeete, Nina-Coralie; Kirby, Richard R.; Piquot, Yves; Luczak, Christophe & Beaugrand, Gregory",Climate change and the ash dieback crisis,{2016},{SCIENTIFIC REPORTS},{6},,{OCT 14},,ISI:000385303900001,,,,,,,,,,,,,,,,,,,
NA,,spatial only,search1,133,"Gols, Rieta; van Dam, Nicole M.; Raaijmakers, Ciska E.; Dicke, Marcel & Harvey, Jeffrey A.",Are population differences in plant quality reflected in the preference and performance of two endoparasitoid wasps?,{2009},{OIKOS},{118},{5},{MAY},{733-743},ISI:000265711500010,,,,,,,,,,,,,,,,,,,
NA,,abiotic mismatch,search1,134,"Goodenough, Anne E.; Hart, Adam G. & Elliot, Simon L.",What prevents phenological adjustment to climate change in migrant bird species? Evidence against the ``arrival constraint'' hypothesis,{2011},{INTERNATIONAL JOURNAL OF BIOMETEOROLOGY},{55},{1},{JAN},{97-102},ISI:000286353000007,,,,,,,,,,,,,,,,,,,
NA,,"previous search (2014); only mismatch given, no raw data",search1,135,"Gordo, Oscar & Jose Sanz, Juan",Long-term temporal changes of plant phenology in the Western Mediterranean,{2009},{GLOBAL CHANGE BIOLOGY},{15},{8},{AUG},{1930-1948},ISI:000267698400007,,,,,,,,,,,,,,,,,,,
NA,,review,search1,136,"Gornish, Elise S. & Tylianakis, Jason M.",COMMUNITY SHIFTS UNDER CLIMATE CHANGE: MECHANISMS AT MULTIPLE SCALES,{2013},{AMERICAN JOURNAL OF BOTANY},{100},{7},{JUL},{1422-1434},ISI:000321766600016,,,,,,,,,,,,,,,,,,,
NA,,no fitness,search1,137,"Green, K.",Alpine Taxa Exhibit Differing Responses to Climate Warming in the Snowy Mountains of Australia,{2010},{JOURNAL OF MOUNTAIN SCIENCE},{7},{2},{JUN},{167-175},ISI:000277827800006,,,,,,,,,,,,,,,,,,,
NA,,conference proceedings,search1,138,"Greve, W.; Lange, U.; Reiners, F. & Nast, J.",Predicting the seasonality of North Sea Zooplankton,{2001},,{31},{2},,{263-268},ISI:000178103400016,"{14th International Senckenberg Conference North Sea 2000, WILHELMSHAVEN, GERMANY, MAY 08-12, 2000}",,{BURNING ISSUES OF NORTH SEA ECOLOGY},,,{SENCKENBERGIANA MARITIMA -SERIES},"Kroncke, I; Turkay, M & Sundermann, J",,,,,,,,,,,,
NA,,model,search1,139,"Grevstad, Fritzi S. & Coop, Leonard B.",The consequences of photoperiodism for organisms in new climates,{2015},{ECOLOGICAL APPLICATIONS},{25},{6},{SEP},{1506-1517},ISI:000360813100006,,,,,,,,,,,,,,,,,,,
NA,,abiotic mismatch,search1,140,"Grimm, Annegret; Weiss, Brigitte M.; Kulik, Lars; Mihoub, Jean-Baptiste; Mundry, Roger; Koeppen, Ulrich; Brueckmann, Tomas; Thomsen, Ruth & Widdig, Anja","Earlier breeding, lower success: does the spatial scale of climatic conditions matter in a migratory passerine bird?",{2015},{ECOLOGY AND EVOLUTION},{5},{23},{DEC},{5722-5734},ISI:000367433000025,,,,,,,,,,,,,,,,,,,
NA,,review,search1,141,"Guillemain, Matthieu; Poysa, Hannu; Fox, Anthony D.; Arzel, Celine; Dessborn, Lisa; Ekroos, Johan; Gunnarsson, Gunnar; Holm, Thomas Eske; Christensen, Thomas Kjaer; Lehikoinen, Aleksi; Mitchell, Carl; Rintala, Jukka & Moller, Anders Pape",Effects of climate change on European ducks: what do we know and what do we need to know?,{2013},{WILDLIFE BIOLOGY},{19},{4},{DEC},{404-419},ISI:000330254200010,,,,,,,,,,,,,,,,,,,
NA,,used breeding season length as proxy for reproductive capacity,search1,142,"Gullett, Philippa; Hatchwell, Ben J.; Robinson, Robert A. & Evans, Karl L.",Phenological indices of avian reproduction: cryptic shifts and prediction across large spatial and temporal scales,{2013},{ECOLOGY AND EVOLUTION},{3},{7},{JUL},{1864-1877},ISI:000322002400004,,,,,,,,,,,,,,,,,,,
NA,,resource availability indexed by N concentration,search1,143,"Gustine, David; Barboza, Perry; Adams, Layne; Griffith, Brad; Cameron, Raymond & Whitten, Kenneth",Advancing the match-mismatch framework for large herbivores in the Arctic: Evaluating the evidence for a trophic mismatch in caribou,{2017},{PLOS ONE},{12},{2},{FEB 23},,ISI:000394682400021,,,,,,,,,,,,,,,,,,,
NA,,previous search (2014); interactions not considered,search1,144,"Gutierrez Illan, Javier; Gutierrez, David; Diez, Sonia B. & Wilson, Robert J.",Elevational trends in butterfly phenology: implications for species responses to climate change,{2012},{ECOLOGICAL ENTOMOLOGY},{37},{2},{APR},{134-144},ISI:000302061900004,,,,,,,,,,,,,,,,,,,
NA,,model,search1,145,"Hall, Richard J.; Brown, Leone M. & Altizer, Sonia",Modeling Vector-Borne Disease Risk in Migratory Animals Under Climate Change,{2016},{INTEGRATIVE AND COMPARATIVE BIOLOGY},{56},{2},{AUG},{353-364},ISI:000381279100021,,,,,,,,,,,,,,,,,,,
NA,,previous search (2014); interactions not considered,search1,146,"He, Qiang; Cui, Baoshan; Bertness, Mark D. & An, Yuan",Testing the importance of plant strategies on facilitation using congeners in a coastal community,{2012},{ECOLOGY},{93},{9},{SEP},{2023-2029},ISI:000309517200006,,,,,,,,,,,,,,,,,,,
NA,,review,search1,147,"Hegland, Stein Joar; Nielsen, Anders; Lazaro, Amparo; Bjerknes, Anne-Line & Totland, Orjan",How does climate warming affect plant-pollinator interactions?,{2009},{ECOLOGY LETTERS},{12},{2},{FEB},{184-195},ISI:000262468500008,,,,,,,,,,,,,,,,,,,
NA,,no fitness data BUT would be good for original study of synchrony,search1,148,"Hegyi, Gergely; Nagy, Gergely & Toeroek, Janos",Reduced compensatory growth capacity in mistimed broods of a migratory passerine,{2013},{OECOLOGIA},{172},{1},{MAY},{279-291},ISI:000317686800025,,,,,,,,,,,,,,,,,,,
NA,,no fitness data BUT would be good for original study of synchrony,search1,149,"Hindle, B. J.; Kerr, C. L.; Richards, S. A. & Willis, S. G.",Topographical variation reduces phenological mismatch between a butterfly and its nectar source,{227-236},{JOURNAL OF INSECT CONSERVATION},{19},{2, SI},{APR},ISI:000353229100005,,,,,,,,,,,,,,,,,,,
NA,,no fitness data BUT would be good for original study of synchrony,search1,150,"Hinks, Amy E.; Cole, Ella F.; Daniels, Katherine J.; Wilkin, Teddy A.; Nakagawa, Shinichi & Sheldon, Ben C.",Scale-Dependent Phenological Synchrony between Songbirds and Their Caterpillar Food Source,{2015},{AMERICAN NATURALIST},{186},{1},{JUL},{84-97},ISI:000356632700010,,,,,,,,,,,,,,,,,,,
NA,,"previous search (2014); don't include both phenology responses or link fitness to phenology, indirect link (i.e. bird mass and proportion of diet)",search1,151,"Hipfner, J. Mark","Matches and mismatches: ocean climate, prey phenology and breeding success in a zooplanktivorous seabird",{2008},{MARINE ECOLOGY PROGRESS SERIES},{368},,,{295-304},ISI:000260511800026,,,,,,,,,,,,,,,,,,,
HMK045*,,*previous search (2014); may not have fitness,search1,152,"Hood, Glen R. & Ott, James R.",Developmental plasticity and reduced susceptibility to natural enemies following host plant defoliation in a specialized herbivore,{2010},{OECOLOGIA},{162},{3},{MAR},{673-683},ISI:000274518000014,,,,,,,,,,,,,,,,,,,
NA,,spatial; abiotic; no fitness,search1,153,"Hoye, Toke T. & Forchhammer, Mads C.","Phenology of high-arctic arthropods: Effects of climate on spatial, seasonal, and inter-annual variation",{2008},,{40},,,{299-324},ISI:000256528000013,,,"{ADVANCES IN ECOLOGICAL RESEARCH, VOL 40: HIGH-ARCTIC ECOSYSTEM DYNAMICS IN A CHANGING CLIMATE}",,,{Advances in Ecological Research},"Meltofte, H; Christensen, TR; Elberling, B; Forchhammer, MC & Rasch, M",,,,,,,,,,,,
NA,,no fitness data BUT would be good for original study of synchrony,search1,154,"Hua, Fangyuan; Hu, Junhua; Liu, Yang; Giam, Xingli; Lee, Tien Ming; Luo, Hao; Wu, Jia; Liang, Qiaoyi; Zhao, Jian; Long, Xiaoyan; Pang, Hong; Wang, Biao; Liang, Wei; Zhang, Zhengwang; Gao, Xuejie & Zhu, Jiang",Community-wide changes in intertaxonomic temporal co-occurrence resulting from phenological shifts,{2016},{GLOBAL CHANGE BIOLOGY},{22},{5},{MAY},{1746-1754},ISI:000373130700006,,,,,,,,,,,,,,,,,,,
NA,,spatial only,search1,155,"Husek, J.; Lampe, H. M. & Slagsvold, T.",Natal dispersal based on past and present environmental phenology in the pied flycatcher (Ficedula hypoleuca),{2014},{OECOLOGIA},{174},{4},{APR},{1139-1149},ISI:000333171400007,,,,,,,,,,,,,,,,,,,
